Normalized:
No hash
1: 		874.9562435741735
10: 	573.8464850053248
100:	163.1571192419426
150:	117.3353874116957
200:	127.49136013646275
250:	360.497156889959

Angle
1:		842.6854928600678
10:		402.426503363241
100:	293.1232370967295
150:	234.51287379479896
200:	277.11571415170863
250:	707.4919531340033

Coherence
1:		758.0227166352815
10:		510.4412244567937
100:	163.4227761074035
150:	132.39094271358215
200:	145.6956795255582
250:	354.1047106478909

Location
1:		787.6400513541279
10:		519.3979893802698
100:	156.9131687004227
150:	112.20155213026315
200:	124.80822616332428	
250:	353.8105447795308

Pixel type
1:		641.5450584956399
10:		396.35928556541063
100:	151.1705317833263
150:	113.85966618843457
200:	130.54077372998893
250:	333.0946406715715

Strength
1:		883.6613634634679
10:		560.2931664577252
100:	161.1283325375469
150:	117.67562509283132
200:	128.85732572082244
250:	357.55087752592647

All
1:		1035.1304694967512
10:		202.33647691517842
100:	378.19401842412225
150:	268.2061630396574
200:	379.9742082328496
250:	723.8887865984614

Large All
1:		926.3268402723091
10:		220.15104231338637
100:	315.0727384936937
150:	261.1443494129829
200:	321.03317003034584
250:	610.5142216391149

Extra Large All
1:		563.4449862583201
10:		304.9692918159207
100:	56.151298485569164
150:	84.69851719978338
200:	45.937200994351905
250:	66.52730370635217
